	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
90	271.340467	282.653022	0.000000	254.000000	232.000000	0.000000	-3.862800	-0.421800	691.849310	35044.258107	-11996.990199	22.934735	0	0	0	765.000000	232.000000	0.000000	0.451200	-0.179360	4.555000	-18.104461	-182.766713	-317.326425
91	272.104822	282.747258	0.000000	254.000000	232.000000	0.000000	-4.484400	-1.420800	693.170810	35176.518224	-12549.733782	-30.216567	0	0	0	765.000000	232.000000	0.000000	0.248160	-0.134520	4.008400	-34.917315	-409.397331	-263.574202
92	273.303777	283.312208	0.000000	254.000000	232.000000	0.000000	-4.129200	-2.708400	690.880210	35450.588895	-13336.597464	27.609283	0	0	0	765.000000	232.000000	0.000000	0.383520	-0.067260	3.826200	136.647643	-367.408096	-295.709857
93	273.962940	283.538029	0.000000	254.000000	232.000000	0.000000	-5.039400	-4.617600	686.475209	35379.579321	-13704.063228	23.476304	0	0	0	765.000000	232.000000	0.000000	0.496320	-0.627760	4.828300	-138.825929	-354.150731	-344.723982
94	274.948540	284.485103	0.000000	254.000000	232.000000	0.000000	-4.506600	-6.105000	677.841409	35576.576200	-14199.787861	94.622059	0	0	0	765.000000	232.000000	0.000000	0.383520	0.156940	2.915200	33.115284	-441.589096	-236.291070
95	274.750144	283.600379	0.000000	254.000000	232.000000	0.000000	-4.839600	-6.660000	671.586309	34654.108393	-13935.512678	-7.510270	0	0	0	765.000000	232.000000	0.000000	0.270720	-0.470820	3.917300	-66.704133	-269.073379	-231.693173
96	275.037901	283.519039	0.000000	254.000000	232.000000	0.000000	-3.840600	-6.149400	658.018909	33900.501665	-13843.336416	10.054057	0	0	0	765.000000	232.000000	0.000000	0.518880	0.448400	3.006300	147.602741	-174.171632	-203.630139
97	273.575141	282.169298	0.000000	254.000000	232.000000	0.000000	-4.484400	-6.682200	648.680309	32543.835760	-12698.008526	-220.930663	0	0	0	765.000000	232.000000	0.000000	0.225600	-0.022420	3.552900	-49.153896	-248.081708	-258.073616
98	273.663931	282.180995	0.000000	254.000000	232.000000	0.000000	-3.330000	-6.660000	635.993909	31914.807148	-12506.140260	-198.909458	0	0	0	765.000000	232.000000	0.000000	0.248160	0.067260	3.188500	57.675073	-182.686778	-317.115514
99	272.307531	279.835620	0.000000	254.000000	232.000000	0.000000	-4.417800	-6.393600	626.391009	29963.802393	-11467.673107	-216.520405	0	0	0	765.000000	232.000000	0.000000	0.293280	-0.156940	3.370700	-213.807233	-363.370136	-333.494484
100	271.970850	279.398369	0.000000	254.000000	232.000000	0.000000	-3.929400	-5.838600	611.414008	28980.027029	-10987.629414	103.389737	0	0	0	765.000000	232.000000	0.000000	0.406080	0.201780	3.552900	109.669286	-320.932427	-230.851965
101	270.244915	276.802353	0.000000	254.000000	232.000000	0.000000	-5.128200	-5.461200	603.837408	27053.337006	-9809.287225	99.124335	0	0	0	765.000000	232.000000	0.000000	0.406080	-0.112100	4.737200	87.643042	-322.321611	-209.708946
102	270.116669	276.826264	0.000000	254.000000	232.000000	0.000000	-4.240200	-5.439000	594.234508	26637.313012	-9577.080871	210.092163	0	0	0	765.000000	232.000000	0.000000	0.654240	0.112100	2.824100	-15.502507	-320.306405	-220.105770
103	269.156302	275.719087	0.000000	254.000000	232.000000	0.000000	-5.594400	-7.592400	594.410708	25987.093351	-9009.068099	268.286422	0	0	0	765.000000	232.000000	0.000000	0.406080	0.089680	3.917300	-148.148555	-236.704065	-306.272658
104	269.142055	276.659108	0.000000	254.000000	232.000000	0.000000	-5.061600	-11.521800	590.093808	26353.062882	-8935.233061	495.202543	0	0	0	765.000000	232.000000	0.000000	0.360960	0.067260	3.188500	-17.384123	-290.534556	-198.760373
105	268.386935	276.703393	0.000000	254.000000	232.000000	0.000000	-6.748800	-15.606600	590.005708	26375.256765	-8488.373854	549.164589	0	0	0	765.000000	232.000000	0.000000	0.564000	-0.134520	3.279600	-6.488799	-373.774250	-344.119287
